notification_id,equipment_id,created_date,notification_type,priority,status
N-00421,EQ-0035,2026-06-19,Breakdown,High,Open
N-00422,EQ-0076,2024-05-22,Breakdown,Medium,Closed
N-00423,EQ-0001,2024-10-02,Condition Monitoring,Medium,Closed
N-00424,EQ-0043,2025-05-27,Breakdown,Medium,Closed
N-00425,EQ-0009,2025-10-25,Inspection,Medium,Closed
N-00426,EQ-0099,2024-02-17,Preventive Request,Medium,Closed
N-00427,EQ-0039,2025-07-29,Breakdown,High,Closed
N-00428,EQ-0086,2025-03-18,Breakdown,Medium,Closed
N-00429,EQ-0065,2024-01-21,Breakdown,Medium,Closed
N-00430,EQ-0059,2026-04-18,Condition Monitoring,Medium,Closed
N-00431,EQ-0016,2025-12-31,Breakdown,Emergency,Closed
N-00432,EQ-0100,2026-02-03,Condition Monitoring,Low,Closed
N-00433,EQ-0028,2025-01-31,Breakdown,Medium,Closed
N-00434,EQ-0007,2025-04-29,Condition Monitoring,Medium,Closed
N-00435,EQ-0007,2024-08-15,Breakdown,Low,Closed
N-00436,EQ-0089,2024-10-31,Breakdown,Medium,Closed
N-00437,EQ-0043,2026-05-09,Condition Monitoring,Medium,Closed
N-00438,EQ-0046,2026-03-14,Breakdown,Low,Closed
N-00439,EQ-0018,2024-06-20,Breakdown,High,Closed
N-00440,EQ-0003,2025-05-22,Condition Monitoring,Medium,Open
N-00441,EQ-0043,2024-01-17,Preventive Request,Low,Closed
N-00442,EQ-0042,2025-12-14,Breakdown,Emergency,Converted to Order
N-00443,EQ-0084,2025-12-31,Breakdown,High,Closed
N-00444,EQ-0052,2024-03-24,Breakdown,Medium,Closed
N-00445,EQ-0091,2025-12-21,Breakdown,High,Closed
N-00446,EQ-0027,2025-08-19,Preventive Request,Medium,Closed
N-00447,EQ-0058,2025-05-01,Condition Monitoring,High,Closed
N-00448,EQ-0015,2024-01-13,Preventive Request,Medium,Closed
N-00449,EQ-0052,2024-07-31,Breakdown,Low,Closed
N-00450,EQ-0016,2026-04-21,Condition Monitoring,Low,Converted to Order
N-00451,EQ-0081,2024-05-25,Breakdown,Low,Converted to Order
N-00452,EQ-0054,2026-03-30,Preventive Request,Medium,Closed
N-00453,EQ-0018,2024-11-09,Breakdown,Emergency,Closed
N-00454,EQ-0009,2024-12-25,Breakdown,High,Closed
N-00455,EQ-0012,2024-06-14,Breakdown,Medium,Closed
N-00456,EQ-0070,2025-08-27,Breakdown,Low,Closed
N-00457,EQ-0075,2024-11-05,Inspection,High,Open
N-00458,EQ-0014,2025-06-30,Preventive Request,Medium,Closed
N-00459,EQ-0089,2026-02-09,Breakdown,Medium,Closed
N-00460,EQ-0083,2025-05-10,Breakdown,Low,Closed
N-00461,EQ-0050,2025-10-20,Condition Monitoring,Medium,Closed
N-00462,EQ-0016,2024-05-21,Condition Monitoring,Medium,Closed
N-00463,EQ-0008,2024-04-27,Breakdown,Medium,Converted to Order
N-00464,EQ-0002,2026-04-15,Preventive Request,Medium,Closed
N-00465,EQ-0044,2024-09-04,Preventive Request,Medium,Converted to Order
N-00466,EQ-0065,2024-01-22,Breakdown,Medium,Closed
N-00467,EQ-0028,2024-12-13,Breakdown,Medium,Converted to Order
N-00468,EQ-0051,2025-12-05,Breakdown,Medium,Closed
N-00469,EQ-0011,2025-10-25,Breakdown,Medium,Closed
N-00470,EQ-0065,2026-02-24,Inspection,Medium,Closed
N-00471,EQ-0100,2024-03-27,Breakdown,Medium,Converted to Order
N-00472,EQ-0003,2024-11-03,Breakdown,Medium,Closed
N-00473,EQ-0057,2025-04-23,Condition Monitoring,Medium,Closed
N-00474,EQ-0073,2026-05-04,Condition Monitoring,Medium,Closed
N-00475,EQ-0084,2026-04-24,Breakdown,Medium,Closed
N-00476,EQ-0058,2025-08-30,Inspection,Low,Closed
N-00477,EQ-0023,2024-06-03,Breakdown,Low,Closed
N-00478,EQ-0071,2024-08-08,Condition Monitoring,Medium,Closed
N-00479,EQ-0030,2025-06-28,Breakdown,Medium,Closed
N-00480,EQ-0056,2024-05-08,Preventive Request,Medium,Closed
N-00481,EQ-0071,2024-08-14,Inspection,High,Closed
N-00482,EQ-0060,2026-01-01,Breakdown,Emergency,Converted to Order
N-00483,EQ-0060,2024-06-21,Preventive Request,Medium,Closed
N-00484,EQ-0053,2024-01-25,Breakdown,Medium,Closed
N-00485,EQ-0081,2024-11-03,Preventive Request,Medium,Closed
N-00486,EQ-0054,2024-05-31,Inspection,Medium,Closed
N-00487,EQ-0052,2025-03-18,Inspection,Medium,Closed
N-00488,EQ-0002,2024-03-04,Breakdown,Medium,Closed
N-00489,EQ-0046,2026-06-25,Breakdown,Low,Closed
N-00490,EQ-0058,2025-05-03,Condition Monitoring,Medium,Closed
N-00491,EQ-0096,2025-08-07,Inspection,High,Closed
N-00492,EQ-0040,2025-08-09,Inspection,Low,Closed
N-00493,EQ-0088,2024-10-16,Breakdown,Low,Closed
N-00494,EQ-0010,2025-12-23,Condition Monitoring,Medium,Closed
N-00495,EQ-0100,2025-06-18,Breakdown,Medium,Closed
N-00496,EQ-0065,2026-02-01,Breakdown,High,Closed
N-00497,EQ-0031,2024-05-28,Preventive Request,Medium,Closed
N-00498,EQ-0001,2025-05-06,Condition Monitoring,Medium,Closed
N-00499,EQ-0007,2026-04-10,Condition Monitoring,Medium,Closed
N-00500,EQ-0032,2026-02-16,Inspection,Medium,Closed
N-00501,EQ-0057,2024-04-04,Inspection,Low,Closed
N-00502,EQ-0015,2026-03-12,Breakdown,Medium,Closed
N-00503,EQ-0089,2025-03-22,Condition Monitoring,High,Closed
N-00504,EQ-0024,2026-02-10,Condition Monitoring,Medium,Closed
N-00505,EQ-0092,2024-11-13,Breakdown,Medium,Closed
N-00506,EQ-0093,2025-03-11,Condition Monitoring,High,Closed
N-00507,EQ-0059,2024-06-06,Inspection,Medium,Closed
N-00508,EQ-0043,2025-06-18,Inspection,Medium,Closed
N-00509,EQ-0088,2024-08-06,Breakdown,Medium,Closed
N-00510,EQ-0027,2024-05-08,Breakdown,Medium,Closed
N-00511,EQ-0085,2026-03-07,Preventive Request,Medium,Converted to Order
N-00512,EQ-0007,2025-04-25,Inspection,Medium,Converted to Order
N-00513,EQ-0061,2026-06-30,Condition Monitoring,Medium,Closed
N-00514,EQ-0082,2025-11-28,Condition Monitoring,Medium,Closed
N-00515,EQ-0013,2024-09-14,Inspection,Medium,Closed
N-00516,EQ-0088,2024-01-09,Breakdown,High,Closed
N-00517,EQ-0048,2024-11-06,Breakdown,Medium,Closed
N-00518,EQ-0096,2024-11-17,Breakdown,High,Closed
N-00519,EQ-0037,2026-04-08,Inspection,Medium,Closed
N-00520,EQ-0011,2024-01-15,Condition Monitoring,Medium,Closed
N-00521,EQ-0097,2025-09-07,Condition Monitoring,Medium,Closed
N-00522,EQ-0055,2024-11-16,Breakdown,High,Closed
N-00523,EQ-0097,2025-07-14,Preventive Request,High,Closed
N-00524,EQ-0066,2024-12-15,Inspection,Medium,Closed
N-00525,EQ-0064,2024-07-20,Condition Monitoring,Medium,Closed
N-00526,EQ-0099,2026-03-17,Breakdown,Medium,Closed
N-00527,EQ-0012,2025-08-15,Preventive Request,Medium,Open
N-00528,EQ-0008,2025-05-04,Breakdown,Emergency,Closed
N-00529,EQ-0091,2026-04-21,Condition Monitoring,Medium,Closed
N-00530,EQ-0099,2025-09-20,Breakdown,Medium,Closed
N-00531,EQ-0075,2025-02-18,Breakdown,Medium,Converted to Order
N-00532,EQ-0011,2025-05-04,Breakdown,Medium,Closed
N-00533,EQ-0073,2026-04-14,Breakdown,Medium,Closed
N-00534,EQ-0077,2024-07-03,Condition Monitoring,High,Closed
N-00535,EQ-0064,2025-08-03,Preventive Request,Medium,Closed
N-00536,EQ-0067,2025-05-28,Preventive Request,High,Closed
N-00537,EQ-0031,2024-10-16,Inspection,Medium,Closed
N-00538,EQ-0034,2025-08-30,Breakdown,Medium,Closed
N-00539,EQ-0040,2025-12-28,Breakdown,High,Closed
N-00540,EQ-0045,2025-05-11,Breakdown,Medium,Closed
N-00541,EQ-0053,2024-01-26,Breakdown,Medium,Closed
N-00542,EQ-0075,2024-08-20,Breakdown,Medium,Open
N-00543,EQ-0071,2024-03-11,Breakdown,Medium,Closed
N-00544,EQ-0081,2025-01-11,Inspection,Medium,Closed
N-00545,EQ-0075,2025-09-17,Condition Monitoring,Low,Converted to Order
N-00546,EQ-0037,2026-06-06,Breakdown,Medium,Closed
N-00547,EQ-0010,2025-01-10,Condition Monitoring,Medium,Closed
N-00548,EQ-0092,2024-09-18,Breakdown,Medium,Closed
N-00549,EQ-0075,2025-11-14,Breakdown,High,Closed
N-00550,EQ-0011,2024-10-27,Inspection,Medium,Closed
N-00551,EQ-0091,2024-12-15,Preventive Request,High,Closed
N-00552,EQ-0038,2025-07-18,Inspection,Medium,Closed
N-00553,EQ-0068,2024-12-25,Condition Monitoring,Low,Closed
N-00554,EQ-0080,2024-06-04,Inspection,Medium,Closed
N-00555,EQ-0074,2026-04-30,Breakdown,High,Closed
N-00556,EQ-0015,2024-09-18,Inspection,Medium,Closed
N-00557,EQ-0002,2024-08-14,Condition Monitoring,Low,Closed
N-00558,EQ-0085,2025-08-30,Inspection,Low,Converted to Order
N-00559,EQ-0028,2024-12-31,Inspection,Medium,Closed
N-00560,EQ-0001,2025-06-18,Inspection,Medium,Closed
N-00561,EQ-0087,2025-06-23,Condition Monitoring,Medium,Closed
N-00562,EQ-0003,2025-01-09,Condition Monitoring,Low,Closed
N-00563,EQ-0059,2024-02-01,Breakdown,Medium,Closed
N-00564,EQ-0027,2026-06-13,Breakdown,Medium,Closed
N-00565,EQ-0047,2024-08-01,Breakdown,High,Closed
N-00566,EQ-0011,2025-02-05,Inspection,High,Closed
N-00567,EQ-0026,2026-05-18,Condition Monitoring,Medium,Closed
N-00568,EQ-0040,2024-11-01,Breakdown,Medium,Closed
N-00569,EQ-0031,2025-05-20,Breakdown,Medium,Closed
N-00570,EQ-0089,2024-07-24,Preventive Request,Low,Closed
N-00571,EQ-0069,2025-05-17,Breakdown,Medium,Closed
N-00572,EQ-0097,2025-11-19,Inspection,Medium,Closed
N-00573,EQ-0063,2026-04-23,Inspection,Medium,Closed
N-00574,EQ-0100,2024-12-04,Breakdown,Medium,Closed
N-00575,EQ-0071,2025-01-25,Condition Monitoring,Medium,Closed
N-00576,EQ-0027,2025-01-11,Inspection,Medium,Closed
N-00577,EQ-0076,2024-12-06,Breakdown,Low,Closed
N-00578,EQ-0077,2025-07-04,Inspection,Medium,Closed
N-00579,EQ-0035,2026-02-24,Breakdown,Low,Closed
N-00580,EQ-0058,2024-04-06,Breakdown,Medium,Closed
N-00581,EQ-0028,2026-05-05,Breakdown,Medium,Closed
N-00582,EQ-0017,2024-10-08,Breakdown,Medium,Closed
N-00583,EQ-0020,2024-03-22,Breakdown,Medium,Closed
N-00584,EQ-0022,2025-04-10,Condition Monitoring,High,Converted to Order
N-00585,EQ-0017,2026-01-03,Inspection,Medium,Closed
N-00586,EQ-0021,2026-03-20,Preventive Request,Medium,Closed
N-00587,EQ-0039,2024-05-02,Condition Monitoring,Medium,Closed
N-00588,EQ-0044,2025-04-04,Breakdown,Medium,Closed
N-00589,EQ-0066,2026-05-10,Inspection,High,Closed
N-00590,EQ-0057,2026-05-29,Inspection,High,Closed
N-00591,EQ-0072,2025-11-27,Breakdown,Medium,Closed
N-00592,EQ-0020,2025-04-02,Inspection,Low,Closed
N-00593,EQ-0039,2024-02-13,Preventive Request,Medium,Closed
N-00594,EQ-0029,2026-01-06,Breakdown,High,Closed
N-00595,EQ-0002,2024-05-25,Inspection,High,Open
N-00596,EQ-0025,2026-05-13,Inspection,Medium,Closed
N-00597,EQ-0029,2025-06-06,Preventive Request,Low,Closed
N-00598,EQ-0070,2026-05-17,Breakdown,Medium,Converted to Order
N-00599,EQ-0085,2024-11-07,Condition Monitoring,Medium,Closed
N-00600,EQ-0036,2025-09-10,Preventive Request,Low,Closed
N-00601,EQ-0020,2025-12-25,Condition Monitoring,Low,Closed
N-00602,EQ-0095,2024-07-05,Breakdown,High,Closed
N-00603,EQ-0097,2025-08-04,Preventive Request,Low,Closed
N-00604,EQ-0021,2024-09-29,Preventive Request,Medium,Closed
N-00605,EQ-0063,2024-04-14,Condition Monitoring,Medium,Closed
N-00606,EQ-0086,2024-10-02,Inspection,Low,Closed
N-00607,EQ-0019,2024-01-14,Breakdown,Low,Converted to Order
N-00608,EQ-0019,2025-08-23,Preventive Request,Medium,Closed
N-00609,EQ-0060,2024-08-10,Breakdown,Medium,Closed
N-00610,EQ-0025,2025-11-01,Inspection,Medium,Converted to Order
N-00611,EQ-0015,2025-03-01,Breakdown,High,Closed
N-00612,EQ-0047,2024-04-29,Inspection,High,Open
N-00613,EQ-0093,2026-03-08,Breakdown,High,Closed
N-00614,EQ-0074,2025-10-22,Condition Monitoring,Medium,Closed
N-00615,EQ-0088,2024-08-05,Breakdown,High,Closed
N-00616,EQ-0057,2025-07-22,Breakdown,Low,Closed
N-00617,EQ-0058,2026-05-23,Breakdown,Medium,Closed
N-00618,EQ-0048,2025-06-18,Breakdown,Medium,Closed
N-00619,EQ-0060,2026-05-15,Breakdown,Low,Closed
N-00620,EQ-0055,2024-03-23,Condition Monitoring,High,Closed
N-00621,EQ-0002,2025-06-28,Inspection,Medium,Closed
N-00622,EQ-0021,2025-05-26,Breakdown,Low,Closed
N-00623,EQ-0004,2025-12-06,Breakdown,Medium,Closed
N-00624,EQ-0078,2025-04-30,Inspection,Medium,Closed
N-00625,EQ-0019,2025-01-17,Condition Monitoring,Medium,Closed
N-00626,EQ-0063,2025-11-12,Breakdown,High,Closed
N-00627,EQ-0073,2026-05-28,Breakdown,Medium,Closed
N-00628,EQ-0027,2025-11-28,Preventive Request,High,Closed
N-00629,EQ-0062,2025-01-11,Breakdown,Medium,Closed
N-00630,EQ-0020,2026-04-18,Inspection,Medium,Closed
N-00631,EQ-0012,2024-12-18,Condition Monitoring,High,Closed
N-00632,EQ-0003,2025-08-26,Inspection,High,Closed
N-00633,EQ-0085,2024-07-21,Breakdown,Medium,Closed
N-00634,EQ-0064,2024-03-13,Breakdown,Low,Closed
N-00635,EQ-0001,2024-02-29,Breakdown,Medium,Closed
N-00636,EQ-0004,2025-02-05,Condition Monitoring,Low,Closed
N-00637,EQ-0033,2025-09-10,Preventive Request,Medium,Converted to Order
N-00638,EQ-0055,2024-08-30,Inspection,Medium,Closed
N-00639,EQ-0027,2026-06-03,Breakdown,Medium,Closed
N-00640,EQ-0041,2026-02-10,Breakdown,Medium,Closed
N-00641,EQ-0065,2024-02-02,Inspection,Medium,Closed
N-00642,EQ-0095,2025-10-02,Inspection,High,Closed
N-00643,EQ-0098,2025-10-27,Preventive Request,Medium,Converted to Order
N-00644,EQ-0040,2026-05-04,Breakdown,High,Closed
N-00645,EQ-0074,2026-06-16,Inspection,Medium,Closed
N-00646,EQ-0040,2025-05-30,Breakdown,High,Closed
N-00647,EQ-0075,2024-01-10,Breakdown,High,Converted to Order
N-00648,EQ-0098,2026-01-23,Inspection,Medium,Closed
N-00649,EQ-0012,2025-12-19,Inspection,Medium,Open
N-00650,EQ-0071,2026-03-30,Condition Monitoring,Medium,Closed
N-00651,EQ-0072,2024-07-16,Preventive Request,Low,Closed
N-00652,EQ-0005,2025-01-03,Inspection,Low,Closed
N-00653,EQ-0008,2026-05-03,Preventive Request,Medium,Converted to Order
N-00654,EQ-0044,2024-01-13,Breakdown,Medium,Closed
N-00655,EQ-0029,2025-01-31,Inspection,Medium,Closed
N-00656,EQ-0062,2024-12-08,Preventive Request,Medium,Closed
N-00657,EQ-0058,2024-01-01,Preventive Request,Medium,Open
N-00658,EQ-0065,2025-06-03,Breakdown,High,Closed
N-00659,EQ-0087,2024-07-17,Inspection,Medium,Closed
N-00660,EQ-0002,2024-11-18,Preventive Request,Medium,Closed
N-00661,EQ-0053,2025-08-17,Preventive Request,Medium,Closed
N-00662,EQ-0044,2026-06-08,Breakdown,Emergency,Closed
N-00663,EQ-0028,2025-05-04,Condition Monitoring,Medium,Closed
N-00664,EQ-0053,2025-10-05,Breakdown,Medium,Closed
N-00665,EQ-0018,2025-12-05,Preventive Request,Low,Open
N-00666,EQ-0068,2026-06-19,Breakdown,High,Closed
N-00667,EQ-0010,2025-10-18,Preventive Request,Medium,Closed
N-00668,EQ-0055,2024-11-22,Inspection,Medium,Closed
N-00669,EQ-0017,2025-12-11,Breakdown,Low,Closed
N-00670,EQ-0044,2024-05-02,Inspection,Medium,Closed
N-00671,EQ-0011,2025-04-09,Breakdown,Medium,Closed
N-00672,EQ-0028,2024-09-23,Condition Monitoring,Medium,Converted to Order
N-00673,EQ-0064,2024-06-04,Preventive Request,Medium,Converted to Order
N-00674,EQ-0064,2025-08-27,Inspection,Medium,Closed
N-00675,EQ-0007,2026-05-25,Inspection,Low,Closed
N-00676,EQ-0064,2026-05-12,Preventive Request,Medium,Closed
N-00677,EQ-0051,2024-05-21,Preventive Request,Medium,Closed
N-00678,EQ-0040,2026-05-16,Condition Monitoring,Medium,Closed
N-00679,EQ-0034,2025-08-11,Breakdown,Medium,Closed
N-00680,EQ-0051,2024-08-04,Breakdown,Medium,Closed
N-00681,EQ-0060,2024-08-28,Preventive Request,Medium,Closed
N-00682,EQ-0008,2024-12-10,Condition Monitoring,Medium,Closed
N-00683,EQ-0041,2025-05-09,Breakdown,Low,Closed
N-00684,EQ-0039,2026-02-12,Breakdown,High,Closed
N-00685,EQ-0044,2025-12-29,Breakdown,Medium,Closed
N-00686,EQ-0094,2025-10-03,Breakdown,Low,Closed
N-00687,EQ-0062,2024-05-01,Condition Monitoring,Medium,Open
N-00688,EQ-0003,2025-11-02,Breakdown,Medium,Closed
N-00689,EQ-0011,2025-01-09,Inspection,Medium,Closed
N-00690,EQ-0022,2025-09-08,Breakdown,High,Converted to Order
N-00691,EQ-0023,2024-06-28,Condition Monitoring,High,Closed
N-00692,EQ-0003,2025-12-13,Breakdown,Low,Closed
N-00693,EQ-0070,2025-10-09,Inspection,High,Closed
N-00694,EQ-0057,2025-05-19,Preventive Request,Medium,Converted to Order
N-00695,EQ-0035,2025-04-17,Inspection,Medium,Converted to Order
N-00696,EQ-0066,2024-08-23,Breakdown,Medium,Closed
N-00697,EQ-0001,2024-01-10,Preventive Request,Low,Closed
N-00698,EQ-0001,2025-10-08,Condition Monitoring,Medium,Closed
N-00699,EQ-0036,2024-04-08,Preventive Request,Medium,Closed
N-00700,EQ-0080,2025-09-12,Inspection,Low,Closed
N-00701,EQ-0004,2025-11-14,Breakdown,Medium,Closed
N-00702,EQ-0025,2025-02-23,Breakdown,High,Closed
N-00703,EQ-0013,2025-01-16,Breakdown,Low,Closed
N-00704,EQ-0039,2024-11-20,Breakdown,Medium,Closed
N-00705,EQ-0098,2024-09-12,Breakdown,Medium,Closed
N-00706,EQ-0094,2024-09-16,Breakdown,Low,Closed
N-00707,EQ-0094,2025-07-21,Inspection,High,Closed
N-00708,EQ-0003,2024-10-17,Breakdown,Medium,Closed
N-00709,EQ-0017,2024-07-20,Breakdown,Medium,Closed
N-00710,EQ-0081,2025-05-13,Condition Monitoring,Medium,Closed
N-00711,EQ-0046,2026-06-08,Preventive Request,Low,Closed
N-00712,EQ-0082,2024-10-24,Preventive Request,Medium,Closed
N-00713,EQ-0038,2024-05-29,Breakdown,Emergency,Closed
N-00714,EQ-0037,2026-05-20,Breakdown,Medium,Closed
N-00715,EQ-0029,2025-03-20,Preventive Request,Medium,Converted to Order
N-00716,EQ-0051,2026-05-23,Inspection,Medium,Closed
N-00717,EQ-0075,2024-03-21,Condition Monitoring,Medium,Closed
N-00718,EQ-0035,2025-09-11,Breakdown,Medium,Open
N-00719,EQ-0011,2025-06-02,Preventive Request,Medium,Closed
N-00720,EQ-0070,2025-01-25,Condition Monitoring,Medium,Closed
N-00721,EQ-0089,2025-12-13,Breakdown,Medium,Closed
N-00722,EQ-0099,2025-11-09,Breakdown,Medium,Closed
N-00723,EQ-0011,2025-03-07,Breakdown,Medium,Closed
N-00724,EQ-0096,2025-07-03,Breakdown,Low,Closed
N-00725,EQ-0099,2026-01-13,Inspection,Medium,Closed
N-00726,EQ-0058,2025-05-04,Condition Monitoring,Low,Closed
N-00727,EQ-0001,2025-10-13,Breakdown,Medium,Closed
N-00728,EQ-0098,2026-02-03,Inspection,Medium,Closed
N-00729,EQ-0013,2025-09-06,Preventive Request,Medium,Closed
N-00730,EQ-0012,2024-02-19,Inspection,Medium,Closed
N-00731,EQ-0031,2024-04-08,Preventive Request,High,Closed
N-00732,EQ-0091,2025-10-01,Condition Monitoring,Medium,Closed
N-00733,EQ-0069,2025-04-17,Breakdown,Low,Closed
N-00734,EQ-0079,2025-01-19,Preventive Request,High,Closed
N-00735,EQ-0031,2025-05-10,Preventive Request,Medium,Closed
N-00736,EQ-0080,2024-09-22,Breakdown,Medium,Closed
N-00737,EQ-0080,2024-08-03,Inspection,Low,Closed
N-00738,EQ-0040,2025-12-26,Condition Monitoring,Medium,Converted to Order
N-00739,EQ-0079,2026-03-03,Breakdown,Medium,Closed
N-00740,EQ-0079,2024-02-05,Preventive Request,Medium,Closed
N-00741,EQ-0002,2025-10-28,Preventive Request,Medium,Closed
N-00742,EQ-0016,2026-05-29,Preventive Request,Medium,Closed
N-00743,EQ-0053,2026-04-23,Breakdown,High,Closed
N-00744,EQ-0004,2024-05-26,Condition Monitoring,Medium,Converted to Order
N-00745,EQ-0044,2026-02-04,Inspection,Medium,Closed
N-00746,EQ-0027,2025-11-04,Inspection,Medium,Closed
N-00747,EQ-0081,2025-03-02,Breakdown,Medium,Closed
N-00748,EQ-0079,2026-05-15,Preventive Request,Medium,Closed
N-00749,EQ-0091,2025-04-28,Preventive Request,Medium,Closed
N-00750,EQ-0064,2025-02-06,Inspection,Low,Closed
N-00751,EQ-0001,2024-07-30,Inspection,Low,Converted to Order
N-00752,EQ-0035,2025-10-02,Inspection,Medium,Closed
N-00753,EQ-0008,2025-11-21,Inspection,Medium,Closed
N-00754,EQ-0088,2025-10-01,Preventive Request,Low,Closed
N-00755,EQ-0085,2024-01-06,Breakdown,High,Closed
N-00756,EQ-0035,2025-07-14,Breakdown,Medium,Closed
N-00757,EQ-0062,2024-10-24,Condition Monitoring,Medium,Converted to Order
N-00758,EQ-0095,2026-04-23,Breakdown,Medium,Closed
N-00759,EQ-0085,2025-08-11,Breakdown,Medium,Closed
N-00760,EQ-0023,2024-01-31,Breakdown,Medium,Closed
N-00761,EQ-0014,2024-03-04,Breakdown,Low,Closed
N-00762,EQ-0081,2024-08-15,Inspection,Medium,Closed
N-00763,EQ-0004,2025-10-02,Breakdown,High,Closed
N-00764,EQ-0094,2025-01-30,Preventive Request,Medium,Closed
N-00765,EQ-0081,2024-01-10,Inspection,Medium,Converted to Order
N-00766,EQ-0028,2024-08-09,Preventive Request,Medium,Closed
N-00767,EQ-0006,2024-07-08,Condition Monitoring,Medium,Converted to Order
N-00768,EQ-0078,2026-05-09,Inspection,Medium,Closed
N-00769,EQ-0025,2025-11-07,Breakdown,Medium,Closed
N-00770,EQ-0022,2024-03-01,Preventive Request,Low,Closed
N-00771,EQ-0079,2026-01-02,Breakdown,Medium,Closed
N-00772,EQ-0088,2024-12-20,Breakdown,Medium,Closed
N-00773,EQ-0004,2024-12-15,Condition Monitoring,Medium,Closed
N-00774,EQ-0037,2024-03-27,Condition Monitoring,Medium,Closed
N-00775,EQ-0061,2025-01-02,Preventive Request,Low,Closed
N-00776,EQ-0034,2026-03-19,Breakdown,High,Closed
N-00777,EQ-0001,2025-05-10,Inspection,High,Closed
N-00778,EQ-0081,2025-12-29,Breakdown,Medium,Closed
N-00779,EQ-0069,2025-06-11,Preventive Request,Low,Closed
N-00780,EQ-0100,2026-02-18,Preventive Request,Low,Closed
N-00781,EQ-0067,2025-02-13,Breakdown,High,Converted to Order
N-00782,EQ-0042,2024-08-29,Breakdown,High,Closed
N-00783,EQ-0043,2024-10-14,Breakdown,Medium,Closed
N-00784,EQ-0097,2024-12-07,Breakdown,Medium,Converted to Order
N-00785,EQ-0080,2024-08-07,Breakdown,Medium,Closed
N-00786,EQ-0050,2024-10-14,Breakdown,High,Converted to Order
N-00787,EQ-0018,2025-12-04,Breakdown,Medium,Open
N-00788,EQ-0075,2025-11-15,Breakdown,Emergency,Closed
N-00789,EQ-0008,2024-11-03,Condition Monitoring,Low,Closed
N-00790,EQ-0087,2025-04-21,Breakdown,Low,Closed
N-00791,EQ-0026,2024-06-08,Breakdown,High,Closed
N-00792,EQ-0078,2025-10-25,Breakdown,High,Converted to Order
N-00793,EQ-0021,2025-09-06,Inspection,Low,Converted to Order
N-00794,EQ-0012,2025-12-23,Breakdown,Medium,Closed
N-00795,EQ-0036,2024-01-07,Breakdown,Medium,Closed
N-00796,EQ-0016,2026-05-24,Breakdown,High,Closed
N-00797,EQ-0023,2024-09-25,Breakdown,High,Closed
N-00798,EQ-0099,2026-03-09,Breakdown,High,Closed
N-00799,EQ-0051,2026-02-23,Breakdown,Medium,Closed
N-00800,EQ-0025,2025-04-28,Preventive Request,Medium,Closed
N-00801,EQ-0097,2024-03-24,Breakdown,Emergency,Converted to Order
N-00802,EQ-0019,2025-12-31,Preventive Request,Medium,Closed
N-00803,EQ-0033,2025-08-14,Breakdown,Medium,Closed
N-00804,EQ-0072,2025-02-10,Inspection,Medium,Closed
N-00805,EQ-0019,2024-02-09,Breakdown,Medium,Closed
N-00806,EQ-0016,2024-08-05,Condition Monitoring,Medium,Closed
N-00807,EQ-0099,2025-10-20,Breakdown,Medium,Converted to Order
N-00808,EQ-0085,2024-08-18,Preventive Request,Medium,Closed
N-00809,EQ-0079,2026-02-20,Inspection,Medium,Closed
N-00810,EQ-0078,2024-11-30,Breakdown,Medium,Open
N-00811,EQ-0074,2026-03-13,Breakdown,Medium,Closed
N-00812,EQ-0094,2025-09-29,Breakdown,Medium,Closed
N-00813,EQ-0052,2025-10-13,Breakdown,Medium,Closed
N-00814,EQ-0097,2024-08-30,Breakdown,Low,Closed
N-00815,EQ-0073,2026-04-11,Condition Monitoring,Medium,Converted to Order
N-00816,EQ-0085,2025-08-17,Breakdown,Medium,Closed
N-00817,EQ-0094,2025-10-03,Breakdown,High,Closed
N-00818,EQ-0023,2026-01-29,Condition Monitoring,Low,Closed
N-00819,EQ-0087,2024-05-30,Condition Monitoring,Medium,Converted to Order
N-00820,EQ-0077,2024-03-22,Condition Monitoring,Medium,Closed
N-00821,EQ-0029,2025-04-21,Breakdown,Medium,Closed
N-00822,EQ-0083,2024-06-24,Breakdown,Low,Closed
N-00823,EQ-0073,2025-04-02,Breakdown,Medium,Closed
N-00824,EQ-0034,2025-04-07,Breakdown,Low,Closed
N-00825,EQ-0048,2025-01-07,Breakdown,High,Closed
N-00826,EQ-0078,2024-08-19,Breakdown,Medium,Closed
N-00827,EQ-0005,2025-11-11,Breakdown,High,Closed
N-00828,EQ-0012,2025-10-25,Preventive Request,High,Closed
N-00829,EQ-0054,2026-06-15,Breakdown,Medium,Closed
N-00830,EQ-0012,2024-07-24,Condition Monitoring,Low,Closed
N-00831,EQ-0091,2026-06-23,Breakdown,Medium,Closed
N-00832,EQ-0073,2025-01-26,Breakdown,High,Converted to Order
N-00833,EQ-0035,2025-10-17,Preventive Request,High,Closed
N-00834,EQ-0019,2025-02-16,Condition Monitoring,Medium,Closed
N-00835,EQ-0056,2025-09-06,Condition Monitoring,Medium,Closed
N-00836,EQ-0005,2026-05-27,Preventive Request,Medium,Closed
N-00837,EQ-0048,2024-08-31,Condition Monitoring,Low,Closed
N-00838,EQ-0035,2025-04-12,Breakdown,Emergency,Converted to Order
N-00839,EQ-0100,2024-01-15,Condition Monitoring,Medium,Closed
